OTU_ID	X6	Z10	Q8	Z2	X8	R1	P3	Q9	Z3	B20.8	R9	Q5	X5	Q7	F20.7	R2	Q4	R8	Z4	A14.4	Q2	B6.6	Z8	EG7.2	G7.1	Z9	A15	Q6	B13.11	A17.12	X10	P2	E6.5	Q3	X9	X4	Z6	E5.9	X1	Z7	R4	A9	P4	X3	X2	R10	P1	X7	A11	Z5	Z1	E14.3	R3	E22	R5	R7	Q1	R6	A5.10
Zotu1117	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	2	0	0	0	0	0	0	0	0
Zotu1118	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1119	0	0	0	0	0	0	0	27	0	1	3	4	1	11	0	0	0	0	0	0	0	0	0	0	1	0	70	0	10	0	0	3	11	0	0	0	0	2	0	0	0	0	17	0	0	4	0	0	0	0	0	2	0	0	0	1	0	0	2
Zotu112	21	0	18	1	327	2	197	22	6	10	81	412	24	152	11	26	27	33	13	45	4	27	57	0	18	11	510	28	35	110	26	27	750	3	34	10	0	12	7	5	39	252	162	1	5	23	221	0	70	10	213	33	1	26	0	153	19	230	127
Zotu1120	0	55	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0
Zotu1121	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1122	31	0	0	12	0	0	0	3	0	0	1	14	17	0	0	0	4	0	0	7	0	0	0	0	0	0	10	2	2	76	0	3	1	1	1	3	0	6	7	0	0	21	38	0	7	0	1	0	0	0	0	2	0	0	0	0	0	1	0
Zotu1123	0	0	0	0	0	0	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	41	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1125	0	0	0	0	1	1	0	0	2	3	0	0	4	1	0	0	0	0	2	0	6	0	0	1	4	0	0	0	0	96	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	6
Zotu1126	0	0	0	0	3	0	17	20	0	0	29	0	1	0	0	0	0	0	0	24	0	7	0	0	1	0	2	0	1	0	0	0	1	0	7	2	0	14	1	0	0	0	15	0	0	1	0	0	0	0	0	0	0	2	0	25	0	2	8
Zotu1127	23	0	0	0	0	0	0	0	0	0	1	72	2	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	19	0	0	2	0	0	1	0	0	0	9	0	0	0	0	0	0	1	0	0	0	12	0	1	0	0	0
Zotu1128	0	0	0	0	0	3	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
